Memphis Grizzlies,91,Denver Nuggets,105,-14
Milwaukee Bucks,106,Cleveland Cavaliers,114,-8
Detroit Pistons,93,Philadelphia 76ers,113,-20
Chicago Bulls,110,Atlanta Hawks,108,2
Indiana Pacers,117,Boston Celtics,112,5
Golden State Warriors,113,Brooklyn Nets,143,-30
Toronto Raptors,113,New York Knicks,106,7
Orlando Magic,116,Houston Rockets,110,6
Dallas Mavericks,104,Minnesota Timberwolves,99,5
Portland Trail Blazers,98,Oklahoma City Thunder,101,-3
Los Angeles Lakers,120,Sacramento Kings,134,-14
Charlotte Hornets,105,Los Angeles Clippers,126,-21
San Antonio Spurs,117,New Orleans Pelicans,126,-9
Washington Wizards,112,Utah Jazz,120,-8
Dallas Mavericks,125,Detroit Pistons,131,-6
Washington Wizards,116,Charlotte Hornets,117,-1
Denver Nuggets,109,Atlanta Hawks,117,-8
Miami Heat,120,Boston Celtics,116,4
Toronto Raptors,105,Brooklyn Nets,114,-9
Orlando Magic,96,Cleveland Cavaliers,107,-11
Los Angeles Lakers,133,Milwaukee Bucks,129,4
Philadelphia 76ers,109,Memphis Grizzlies,117,-8
New Orleans Pelicans,117,San Antonio Spurs,99,18
Houston Rockets,122,Phoenix Suns,121,1
Indiana Pacers,119,Utah Jazz,139,-20
Chicago Bulls,111,Golden State Warriors,119,-8
Dallas Mavericks,121,New York Knicks,100,21
Sacramento Kings,123,Los Angeles Clippers,96,27
Milwaukee Bucks,105,Charlotte Hornets,96,9
Oklahoma City Thunder,135,Minnesota Timberwolves,128,7
Orlando Magic,108,Toronto Raptors,121,-13
Houston Rockets,101,Golden State Warriors,120,-19
Portland Trail Blazers,116,Utah Jazz,111,5
Denver Nuggets,106,New Orleans Pelicans,121,-15
Phoenix Suns,133,San Antonio Spurs,95,38
Boston Celtics,103,Brooklyn Nets,92,11
Memphis Grizzlies,122,Detroit Pistons,112,10
Cleveland Cavaliers,81,New York Knicks,92,-11
Chicago Bulls,101,Sacramento Kings,110,-9
Los Angeles Lakers,130,Washington Wizards,119,11
Indiana Pacers,100,Portland Trail Blazers,116,-16
Los Angeles Clippers,119,Charlotte Hornets,117,2
Milwaukee Bucks,109,Orlando Magic,102,7
Oklahoma City Thunder,121,Atlanta Hawks,114,7
Boston Celtics,116,Toronto Raptors,110,6
Philadelphia 76ers,123,Houston Rockets,132,-9
Miami Heat,93,Memphis Grizzlies,101,-8
Phoenix Suns,111,Dallas Mavericks,130,-19
Indiana Pacers,112,Golden State Warriors,104,8
Los Angeles Lakers,102,Cleveland Cavaliers,116,-14
Detroit Pistons,116,Miami Heat,96,20
Dallas Mavericks,116,Denver Nuggets,115,1
Los Angeles Clippers,111,Orlando Magic,116,-5
Charlotte Hornets,116,Brooklyn Nets,122,-6
Atlanta Hawks,89,New York Knicks,113,-24
Los Angeles Lakers,113,Toronto Raptors,126,-13
Washington Wizards,111,Chicago Bulls,115,-4
Oklahoma City Thunder,102,Memphis Grizzlies,123,-21
Sacramento Kings,113,Milwaukee Bucks,126,-13
Indiana Pacers,115,Minnesota Timberwolves,121,-6
Detroit Pistons,98,New Orleans Pelicans,104,-6
Golden State Warriors,123,Utah Jazz,124,-1
Boston Celtics,125,Phoenix Suns,98,27
Los Angeles Clippers,110,Miami Heat,115,-5
Houston Rockets,109,San Antonio Spurs,118,-9
Denver Nuggets,121,Portland Trail Blazers,120,1
New York Knicks,121,Charlotte Hornets,102,19
Washington Wizards,111,Indiana Pacers,121,-10
Toronto Raptors,109,Orlando Magic,113,-4
Atlanta Hawks,116,Brooklyn Nets,120,-4
Sacramento Kings,106,Cleveland Cavaliers,95,11
Los Angeles Lakers,122,Philadelphia 76ers,133,-11
Detroit Pistons,103,Memphis Grizzlies,114,-11
Phoenix Suns,117,New Orleans Pelicans,128,-11
Minnesota Timberwolves,118,Utah Jazz,108,10
Milwaukee Bucks,106,Dallas Mavericks,105,1
San Antonio Spurs,115,Miami Heat,111,4
